id,text,category,priority
810,Request new street light installation at Rajiv Gandhi Square lane,Electricity,Low
811,Water tanker delayed by 3 hours daily at Treasure Island Area This has been ignored for long.,Water Issues,Medium
812,Manhole overflow raw sewage on road at Sanyogitaganj colony,Sanitation,High
813,Request street light on newly built road at Residency Area Please take immediate action.,Street Lights,Low
814,Request street light on newly built road at Treasure Island Area Please resolve urgently.,Street Lights,Low
815,Request electricity connection for Pardesipura new plot,Electricity,Low
816,Water quality slightly bad odour in Airport Road supply,Water Issues,Medium
817,Road completely washed out flooded impassable at Annapurna Road,Roads & Potholes,High
818,Suggest CCTV with lights at Annapurna Road entry point,Street Lights,Low
819,CCTV cameras not working due to power issue at Race Course Road,Electricity,Medium
820,Street lights dim not bright enough at Rau road This has been ignored for long.,Street Lights,Medium
821,Suggest LED replacement for old lights at Airport Road This is causing great inconvenience.,Electricity,Low
822,Public toilet dirty unhygienic condition at Pardesipura,Sanitation,Medium
823,Request light in Musakhedi park for evening walkers Residents are suffering.,Electricity,Low
824,Request traffic mirror at blind corner near Nehru Nagar,Roads & Potholes,Low
825,Broken footpath Agrawal Nagar elderly people falling risk,Roads & Potholes,Medium
826,Street light not working since 14 days at Sanyogitaganj,Street Lights,Medium
827,Suggest water audit for Rajendra Nagar ward reduce wastage This has been ignored for long.,Water Issues,Low
828,Request new borewell installation in Gandhi Nagar colony Residents are suffering.,Water Issues,Low
829,Request rumble strips near Vijay Nagar school zone Please take immediate action.,Roads & Potholes,Low
830,Meter reading not done for 3 months in Kanadiya Road Residents are suffering.,Electricity,Medium
831,Suggest smart street lighting for Polo Ground main road,Street Lights,Low
832,Chemical waste dumped in Bijalpur drain water contaminated Kindly look into this matter.,Sanitation,High
833,Garbage piling up for 7 days no collection Nehru Nagar,Sanitation,Medium
834,Road completely washed out flooded impassable at AB Road,Roads & Potholes,High
835,Road completely submerged under water impassable Geeta Bhawan Residents are suffering.,Roads & Potholes,High
836,Road cave in sinkhole formed at Race Course Road near main market This has been ignored for long.,Roads & Potholes,High
837,Suggest road beautification drive for Palasia main road Please take immediate action.,Roads & Potholes,Low
838,Suggest water audit for Musakhedi ward reduce wastage This has been ignored for long.,Water Issues,Low
839,Short circuit sparks from street light pole at Nipania Residents are suffering.,Street Lights,High
840,Request electricity connection for Annapurna Road new plot This is causing great inconvenience.,Electricity,Low
841,Request reflector posts on South Tukoganj road curve,Roads & Potholes,Low
842,Rats infestation in Race Course Road colony garbage issue,Sanitation,Medium
843,Short circuit sparks from street light pole at Marimata Chowk This has been ignored for long.,Street Lights,High
844,All street lights not working Agrawal Nagar area completely dark Kindly look into this matter.,Street Lights,High
845,Footpath tiles broken uneven at Juni Indore main road Kindly look into this matter.,Roads & Potholes,Medium
846,Electric short circuit fire sparks from box at Ring Road Kindly look into this matter.,Electricity,High
847,Request road name sign board at Annapurna Road crossing This is causing great inconvenience.,Roads & Potholes,Low
848,Sewage overflow flooding entire Gandhi Nagar road since 4 days,Sanitation,High
849,Overhead tank dirty needs cleaning in Geeta Bhawan colony This has been ignored for long.,Water Issues,Medium
850,Road completely broken vehicles falling in crater at Nehru Nagar,Roads & Potholes,High
851,High mast light tower tilting about to fall at Kanadiya Road,Street Lights,High
852,Request additional power socket in Bypass Road community hall Please take immediate action.,Electricity,Low
853,14 street lights broken on main road Scheme 78 Residents are suffering.,Street Lights,Medium
854,Street light pole rusted leaning at Vijay Nagar needs repair Residents are suffering.,Street Lights,Medium
855,Sewage mixing in drinking water supply at Rau Please resolve urgently.,Water Issues,High
856,Broken light pole fallen on road blocking traffic at Scheme 54 Kindly look into this matter.,Street Lights,High
857,Dirty black water coming from taps in Chandan Nagar since 7 days This is causing great inconvenience.,Water Issues,High
858,No potable water available entire Regal Square ward for 10 days Please resolve urgently.,Water Issues,High
859,Request solar street light for Bombay Hospital Road colony lane Please resolve urgently.,Street Lights,Low
860,Suggest awareness campaign for Shivaji Nagar cleanliness Residents are suffering.,Sanitation,Low
861,Water connection pipe broken needs replacement at Vijay Nagar Residents are suffering.,Water Issues,Medium
862,Transformer oil leaking fire hazard at Residency Area substation,Electricity,High
863,Road completely washed out flooded impassable at Malharganj Kindly look into this matter.,Roads & Potholes,High
864,Suggest smart street lighting for Bhanwarkua main road Please resolve urgently.,Street Lights,Low
865,Sewage overflow flooding entire Dewas Naka road since 1 days,Sanitation,High
866,Request solar street light for Rau colony lane,Street Lights,Low
867,Electric pole tilting about to fall on road at Sukhliya This is causing great inconvenience.,Electricity,High
868,Request solar street light for Regal Square colony lane Please resolve urgently.,Street Lights,Low
869,Request additional street light at Rajendra Nagar dark corner,Electricity,Low
870,Suggest smart street lighting for Musakhedi main road,Street Lights,Low
871,Water bill correction request for Scheme 78 address,Water Issues,Low
872,Request tree planting drive in Polo Ground colony Please resolve urgently.,Sanitation,Low
873,Massive deep pothole causing accidents at Juni Indore highway Please resolve urgently.,Roads & Potholes,High
874,Open garbage burning smoke nuisance near Kanadiya Road Please resolve urgently.,Sanitation,Medium
875,Drainage completely blocked sewage backup flooding Juni Indore,Sanitation,High
876,New street light requested for dark lane at Sapna Sangeeta Road Please take immediate action.,Street Lights,Medium
877,No water supply for 4 days in entire Nehru Nagar colony,Water Issues,High
878,Open manhole cover missing accident risk at Pardesipura road Please resolve urgently.,Roads & Potholes,High
879,Pothole near Sapna Sangeeta Road school children at risk daily,Roads & Potholes,Medium
880,Road completely submerged under water impassable Bijalpur This is causing great inconvenience.,Roads & Potholes,High
881,Power cut during peak hours daily problem at Musakhedi Kindly look into this matter.,Electricity,Medium
882,Open defecation near Bombay Hospital Road school health emergency,Sanitation,High
883,Request electricity connection for Race Course Road new plot Kindly look into this matter.,Electricity,Low
884,Water supply available only 10 hours daily in Residency Area,Water Issues,Medium
885,Suggest water conservation awareness in Old Palasia ward Please resolve urgently.,Water Issues,Low
886,Open drain overflowing sewage water entering homes at Polo Ground Please take immediate action.,Sanitation,High
887,New street light requested for dark lane at Sapna Sangeeta Road,Street Lights,Medium
888,4 street lights broken on main road Palasia,Street Lights,Medium
889,Road surface worn out needs resurfacing at Rajiv Gandhi Square This has been ignored for long.,Roads & Potholes,Medium
890,Garbage vehicle not coming on schedule to Palasia This is causing great inconvenience.,Sanitation,Medium
891,Request new borewell installation in Nanda Nagar colony This has been ignored for long.,Water Issues,Low
892,Request rainwater harvesting system for Bypass Road colony,Water Issues,Low
893,Street light pole rusted leaning at Bengali Square needs repair This is causing great inconvenience.,Street Lights,Medium
894,Power fluctuation damaging appliances in Chandan Nagar homes This has been ignored for long.,Electricity,Medium
895,2 street lights broken on main road Bengali Square Please take immediate action.,Street Lights,Medium
896,Water quality slightly bad odour in LIG Colony supply Please take immediate action.,Water Issues,Medium
897,Request rainwater harvesting system for Bombay Hospital Road colony,Water Issues,Low
898,Garbage piling up for 2 days no collection Bhawarkua,Sanitation,Medium
899,Open drain overflowing sewage water entering homes at Dewas Naka This has been ignored for long.,Sanitation,High
900,Request speed breaker installation near Annapurna Road school This is causing great inconvenience.,Roads & Potholes,Low
901,Traffic signal light not working properly at Agrawal Nagar Kindly look into this matter.,Roads & Potholes,Medium
902,New street light requested for dark lane at Bhawarkua This has been ignored for long.,Street Lights,Medium
903,Broken footpath AB Road elderly people falling risk This has been ignored for long.,Roads & Potholes,Medium
904,Multiple potholes on Bijalpur road causing vehicle damage,Roads & Potholes,Medium
905,Request dog shelter near Juni Indore for stray animals Residents are suffering.,Sanitation,Low
906,Request cleaning of Agrawal Nagar park pond water body,Sanitation,Low
907,Water meter not working billing issue at Gandhi Nagar colony,Water Issues,Medium
908,Water tanker not coming since 7 days Polo Ground residents suffering,Water Issues,High
909,Suggest water audit for Polo Ground ward reduce wastage Please resolve urgently.,Water Issues,Low
910,Old pipeline replacement request for Geeta Bhawan lane Please take immediate action.,Water Issues,Low
911,Overhead tank dirty needs cleaning in Bypass Road colony This is causing great inconvenience.,Water Issues,Medium
912,Power cut during peak hours daily problem at Old Palasia This has been ignored for long.,Electricity,Medium
913,Water supply available only 5 hours daily in South Tukoganj,Water Issues,Medium
914,Half the street lights in Lasudia colony not working,Street Lights,Medium
915,Road cave in sinkhole formed at Rau near main market Please resolve urgently.,Roads & Potholes,High
916,Broken water main causing massive flooding near Scheme 78 Residents are suffering.,Water Issues,High
917,Pothole near Rajiv Gandhi Square school children at risk daily,Roads & Potholes,Medium
918,Suggest lights on Race Course Road walking track path Residents are suffering.,Street Lights,Low
919,Street light not working since 6 days at Vijay Nagar This is causing great inconvenience.,Street Lights,Medium
920,Broken footpath Annapurna Road elderly people falling risk,Roads & Potholes,Medium
921,Suggest cycle track along Musakhedi main road Residents are suffering.,Roads & Potholes,Low
922,Electricity supply unstable voltage fluctuation AB Road Residents are suffering.,Electricity,Medium
923,Request decorative lights for Marimata Chowk main market This is causing great inconvenience.,Street Lights,Low
924,Street light timer wrong on at daytime at Chandan Nagar This is causing great inconvenience.,Street Lights,Medium
925,Request dog shelter near Rajiv Gandhi Square for stray animals,Sanitation,Low
926,Suggest additional water tap point near Chandan Nagar park,Water Issues,Low
927,Broken light pole fallen on road blocking traffic at Shivaji Nagar Please resolve urgently.,Street Lights,High
928,Street light on during day wasting electricity at Lasudia,Electricity,Medium
929,Request rumble strips near Race Course Road school zone Residents are suffering.,Roads & Potholes,Low
930,Road marking lines faded invisible at Polo Ground junction Residents are suffering.,Roads & Potholes,Medium
931,Half the street lights in Rajiv Gandhi Square colony not working,Street Lights,Medium
932,3 street lights broken on main road Bhanwarkua,Street Lights,Medium
933,Water meter not working billing issue at Geeta Bhawan colony Residents are suffering.,Water Issues,Medium
934,Request cleaning of Bangali Chowk park pond water body Residents are suffering.,Sanitation,Low
935,Street lights dim not bright enough at Khajrana road Please resolve urgently.,Street Lights,Medium
936,Suggest water audit for Sector 12 ward reduce wastage,Water Issues,Low
937,Short circuit sparks from street light pole at Nehru Nagar,Street Lights,High
938,Road divider collapsed blocking lanes at Geeta Bhawan highway,Roads & Potholes,High
939,Electric meter box burnt fire risk in Bijalpur building Kindly look into this matter.,Electricity,High
940,Water pipeline burst near Chandan Nagar road flooded no supply,Water Issues,High
941,Water logging on road after rain at Rajiv Gandhi Square for hours This is causing great inconvenience.,Roads & Potholes,Medium
942,Deep trench dug left open no barrier at Scheme 140 road Please resolve urgently.,Roads & Potholes,High
943,Water bill correction request for Pardesipura address This has been ignored for long.,Water Issues,Low
944,Water supply only for 6 hours causing inconvenience Khajrana This has been ignored for long.,Water Issues,Medium
945,Suggest lights on Bijalpur walking track path This has been ignored for long.,Street Lights,Low
946,Meter reading not done for 10 months in Nipania,Electricity,Medium
947,All street lights not working Nanda Nagar area completely dark This has been ignored for long.,Street Lights,High
948,Main pipeline burst water flooding Dewas Naka road completely Kindly look into this matter.,Water Issues,High
949,Power cut during peak hours daily problem at Scheme 78 Residents are suffering.,Electricity,Medium
950,Street light pole rusted leaning at Polo Ground needs repair This is causing great inconvenience.,Street Lights,Medium
951,Garbage segregation not done by vehicle at Treasure Island Area,Sanitation,Medium
952,Request street light on newly built road at Khajrana Residents are suffering.,Street Lights,Low
953,Suggest additional water tap point near Pardesipura park Residents are suffering.,Water Issues,Low
954,Water pressure very low only trickle coming in Musakhedi,Water Issues,Medium
955,Suggest cycle track along Polo Ground main road Please resolve urgently.,Roads & Potholes,Low
956,Street light on during day wasting electricity at Shivaji Nagar,Electricity,Medium
957,Road completely washed out flooded impassable at Airport Road Kindly look into this matter.,Roads & Potholes,High
958,Street light pole hit by vehicle sparking dangerously Scheme 54,Street Lights,High
959,Pipeline leaking minor dripping near Lasudia chowk,Water Issues,Medium
960,New street light requested for dark lane at Juni Indore,Street Lights,Medium
961,Suggest lights on Sapna Sangeeta Road walking track path Please take immediate action.,Street Lights,Low
962,Suggest road divider plantation beautification at Nipania Please resolve urgently.,Roads & Potholes,Low
963,Garbage vehicle not coming on schedule to Lasudia,Sanitation,Medium
964,Stray wire sparking on road near Sapna Sangeeta Road school danger,Electricity,High
965,Pipeline leaking minor dripping near Rau chowk This has been ignored for long.,Water Issues,Medium
966,Pipe leakage on road wasting water daily at Chandan Nagar,Water Issues,Medium
967,Suggest LED replacement for old lights at Geeta Bhawan,Electricity,Low
968,Open manhole cover missing accident risk at Sukhliya road This has been ignored for long.,Roads & Potholes,High
969,Request speed breaker installation near Bombay Hospital Road school Residents are suffering.,Roads & Potholes,Low
970,Street lights dim not bright enough at Tilak Nagar road Please resolve urgently.,Street Lights,Medium
971,Garbage not collected since 5 days in Rajiv Gandhi Square colony,Sanitation,Medium
972,Multiple potholes on Bengali Square road causing vehicle damage,Roads & Potholes,Medium
973,Suggest zebra crossing painting at Sanyogitaganj junction Please take immediate action.,Roads & Potholes,Low
974,Water connection pipe broken needs replacement at Residency Area Kindly look into this matter.,Water Issues,Medium
975,Main pipeline burst water flooding AB Road road completely,Water Issues,High
976,Sewage mixing in drinking water supply at Musakhedi Please take immediate action.,Water Issues,High
977,Footpath tiles broken uneven at Nipania main road,Roads & Potholes,Medium
978,Street light pole rusted leaning at Old Palasia needs repair,Street Lights,Medium
979,Traffic signal light not working properly at Gandhi Nagar,Roads & Potholes,Medium
980,Request reflector posts on Kanadiya Road road curve,Roads & Potholes,Low
981,Half the street lights in Nipania colony not working,Street Lights,Medium
982,Request decorative lights for Polo Ground main market,Street Lights,Low
983,Request cleaning of Nehru Nagar park pond water body,Sanitation,Low
984,Water supply only for 4 hours causing inconvenience Bhawarkua,Water Issues,Medium
985,Suggest monthly cleaning drive for Scheme 140 ward Please resolve urgently.,Sanitation,Low
986,Overhead wire hanging low touching vehicles at Shivaji Nagar Residents are suffering.,Electricity,High
987,Half the street lights in Khajrana colony not working Please take immediate action.,Street Lights,Medium
988,Pothole near Pardesipura school children at risk daily Please resolve urgently.,Roads & Potholes,Medium
989,Broken water main causing massive flooding near Bypass Road Please take immediate action.,Water Issues,High
990,Open garbage burning smoke nuisance near Shivaji Nagar,Sanitation,Medium
991,Broken light pole fallen on road blocking traffic at Annapurna Road,Street Lights,High
992,Sewage water mixed in drinking water Treasure Island Area disease risk This has been ignored for long.,Water Issues,High
993,Request rainwater harvesting system for South Tukoganj colony This is causing great inconvenience.,Water Issues,Low
994,Footpath tiles broken uneven at Kanadiya Road main road Kindly look into this matter.,Roads & Potholes,Medium
995,Dirty black water coming from taps in Residency Area since 1 days,Water Issues,High
996,Dirty black water coming from taps in Agrawal Nagar since 7 days Please take immediate action.,Water Issues,High
997,Road marking lines faded invisible at Sanyogitaganj junction Please take immediate action.,Roads & Potholes,Medium
998,Live electric wire fallen on road at Dewas Naka danger to life,Electricity,High
999,Request traffic mirror at blind corner near Airport Road,Roads & Potholes,Low
1000,Broken water main causing massive flooding near Lasudia This is causing great inconvenience.,Water Issues,High
1001,Suggest festive lighting plan for Lasudia market area This is causing great inconvenience.,Street Lights,Low
1002,Road repairs done poorly broken again within 1 days,Roads & Potholes,Medium
1003,Electric meter running fast overcharging Palasia residents This has been ignored for long.,Electricity,Medium
1004,Street light on during day wasting electricity at Residency Area,Electricity,Medium
1005,Stray dogs menace near Vijay Nagar garbage dump biting people,Sanitation,Medium
1006,Suggest water conservation awareness in Scheme 78 ward Residents are suffering.,Water Issues,Low
1007,Request dog shelter near Nanda Nagar for stray animals,Sanitation,Low
1008,Drain blocked water stagnating mosquitoes breeding Lasudia Kindly look into this matter.,Sanitation,Medium
1009,Request public toilet construction near Nipania market Please take immediate action.,Sanitation,Low
1010,Suggest cycle track along Dewas Naka main road,Roads & Potholes,Low
1011,Stray wire sparking on road near Khajrana school danger This is causing great inconvenience.,Electricity,High
1012,Water quality slightly bad odour in Dewas Naka supply,Water Issues,Medium
1013,Open garbage burning smoke nuisance near Musakhedi Please take immediate action.,Sanitation,Medium
1014,Frequent power cuts 10 times daily affecting Sukhliya,Electricity,Medium
1015,Live electric wire fallen on road at Palasia danger to life,Electricity,High
1016,Suggest LED replacement for old lights at Annapurna Road,Electricity,Low
1017,Suggest monthly cleaning drive for Kanadiya Road ward This is causing great inconvenience.,Sanitation,Low
1018,All street lights not working Polo Ground area completely dark,Street Lights,High
1019,Suggest smart street lighting for Shivaji Nagar main road Kindly look into this matter.,Street Lights,Low
1020,Power cut during peak hours daily problem at Ring Road Kindly look into this matter.,Electricity,Medium
1021,CCTV cameras not working due to power issue at LIG Colony Please resolve urgently.,Electricity,Medium
1022,Entire Scheme 140 colony dark for 14 nights crime risk high,Street Lights,High
1023,Live electric wire fallen on road at Scheme 140 danger to life Kindly look into this matter.,Electricity,High
1024,Request electricity connection for Regal Square new plot,Electricity,Low
1025,Drainage water stagnating mosquito breeding at Treasure Island Area,Sanitation,Medium
1026,Road cave in sinkhole formed at Pardesipura near main market,Roads & Potholes,High
1027,Suggest underground cabling for Bangali Chowk to avoid poles Kindly look into this matter.,Electricity,Low
1028,Water supply only for 2 hours causing inconvenience Scheme 78,Water Issues,Medium
1029,Water supply available only 5 hours daily in Residency Area Kindly look into this matter.,Water Issues,Medium
1030,Suggest lights on Kanadiya Road walking track path This is causing great inconvenience.,Street Lights,Low
1031,Suggest monthly cleaning drive for Khajrana ward,Sanitation,Low
1032,Overhead tank dirty needs cleaning in Ring Road colony,Water Issues,Medium
1033,Request rainwater harvesting system for Residency Area colony Kindly look into this matter.,Water Issues,Low
1034,Garbage not collected since 10 days in Tilak Nagar colony,Sanitation,Medium
1035,Suggest lights on Musakhedi walking track path,Street Lights,Low
1036,Potholes on Nehru Nagar road causing tyre punctures daily This has been ignored for long.,Roads & Potholes,Medium
1037,Garbage dump fire toxic smoke affecting Vijay Nagar residents Residents are suffering.,Sanitation,High
1038,Footpath tiles broken uneven at Geeta Bhawan main road Kindly look into this matter.,Roads & Potholes,Medium
1039,Request decorative lights for South Tukoganj main market,Street Lights,Low
1040,Suggest cycle track along Scheme 78 main road Kindly look into this matter.,Roads & Potholes,Low
1041,Garbage segregation not done by vehicle at Scheme 140,Sanitation,Medium
1042,Request electricity connection for Annapurna Road new plot Please take immediate action.,Electricity,Low
1043,Request rainwater harvesting system for Bhanwarkua colony Please take immediate action.,Water Issues,Low
1044,High mast light tower tilting about to fall at Treasure Island Area Kindly look into this matter.,Street Lights,High
1045,Request new street light installation at Scheme 54 lane Please take immediate action.,Electricity,Low
1046,Suggest festive lighting plan for Agrawal Nagar market area This has been ignored for long.,Street Lights,Low
1047,Garbage not collected since 10 days in Nanda Nagar colony Please resolve urgently.,Sanitation,Medium
1048,Request electricity connection for Rajiv Gandhi Square new plot,Electricity,Low
1049,Request new borewell installation in Sector 12 colony Kindly look into this matter.,Water Issues,Low
1050,High mast light tower tilting about to fall at Kanadiya Road,Street Lights,High
1051,Old pipeline replacement request for Scheme 54 lane Please resolve urgently.,Water Issues,Low
1052,Request additional dustbin near Sukhliya bus stop,Sanitation,Low
1053,Electricity supply unstable voltage fluctuation Ring Road Residents are suffering.,Electricity,Medium
1054,Request light in Bangali Chowk park for evening walkers Please take immediate action.,Electricity,Low
1055,Multiple potholes on Pardesipura road causing vehicle damage,Roads & Potholes,Medium
1056,Suggest smart street lighting for AB Road main road,Street Lights,Low
1057,Garbage vehicle not coming on schedule to Bhanwarkua,Sanitation,Medium
1058,Suggest zebra crossing painting at South Tukoganj junction This has been ignored for long.,Roads & Potholes,Low
1059,Request solar street light for Scheme 140 colony lane,Street Lights,Low
1060,Broken light pole fallen on road blocking traffic at Scheme 78 This is causing great inconvenience.,Street Lights,High
1061,Public toilet dirty unhygienic condition at Sapna Sangeeta Road,Sanitation,Medium
1062,Request cleaning of Bhawarkua park pond water body Please resolve urgently.,Sanitation,Low
1063,Loose wire hanging from pole at Malharganj needs fixing Please take immediate action.,Electricity,Medium
1064,Request electricity connection for Residency Area new plot,Electricity,Low
1065,Suggest no plastic zone declaration for Marimata Chowk market,Sanitation,Low
1066,Suggest awareness campaign for Shivaji Nagar cleanliness Kindly look into this matter.,Sanitation,Low
1067,Suggest energy audit for Khajrana ward buildings Please take immediate action.,Electricity,Low
1068,Garbage piling up for 2 days no collection Annapurna Road,Sanitation,Medium
1069,Dustbin overflowing garbage spilling on road at Scheme 54 This has been ignored for long.,Sanitation,Medium
1070,Suggest no plastic zone declaration for Airport Road market Please resolve urgently.,Sanitation,Low
1071,Request speed breaker installation near Rajendra Nagar school Kindly look into this matter.,Roads & Potholes,Low
1072,Potholes on Musakhedi road causing tyre punctures daily Kindly look into this matter.,Roads & Potholes,Medium
1073,Road divider collapsed blocking lanes at Chandan Nagar highway Residents are suffering.,Roads & Potholes,High
1074,High mast light tower tilting about to fall at Race Course Road Please take immediate action.,Street Lights,High
1075,Street lights dim not bright enough at Bijalpur road Kindly look into this matter.,Street Lights,Medium
1076,Overhead tank dirty needs cleaning in Bangali Chowk colony Please resolve urgently.,Water Issues,Medium
1077,Open garbage burning smoke nuisance near LIG Colony Kindly look into this matter.,Sanitation,Medium
1078,Suggest road beautification drive for Kanadiya Road main road This has been ignored for long.,Roads & Potholes,Low
1079,Entire Annapurna Road colony dark for 10 nights crime risk high,Street Lights,High
1080,Suggest festive lighting plan for Rajiv Gandhi Square market area Please take immediate action.,Street Lights,Low
1081,Flickering street light disturbing residents at LIG Colony This has been ignored for long.,Street Lights,Medium
1082,Speed breaker broken uneven causing discomfort at Residency Area Residents are suffering.,Roads & Potholes,Medium
1083,Street light not working since 7 days at Pardesipura road This has been ignored for long.,Electricity,Medium
1084,Street light not working since 7 days at Ring Road road This is causing great inconvenience.,Electricity,Medium
1085,Half the street lights in Bengali Square colony not working This is causing great inconvenience.,Street Lights,Medium
1086,Bridge railing broken dangerous for vehicles at Dewas Naka,Roads & Potholes,High
1087,Request reflector posts on Sanyogitaganj road curve Please resolve urgently.,Roads & Potholes,Low
1088,No potable water available entire Sukhliya ward for 2 days,Water Issues,High
1089,All street lights not working Ring Road area completely dark This has been ignored for long.,Street Lights,High
1090,Deep trench dug left open no barrier at Bangali Chowk road This is causing great inconvenience.,Roads & Potholes,High
1091,Road cave in sinkhole formed at Bombay Hospital Road near main market,Roads & Potholes,High
1092,Drainage completely blocked sewage backup flooding Regal Square Please resolve urgently.,Sanitation,High
1093,Drainage water stagnating mosquito breeding at Palasia This has been ignored for long.,Sanitation,Medium
1094,Broken light pole fallen on road blocking traffic at South Tukoganj,Street Lights,High
1095,Request road name sign board at Rau crossing Please resolve urgently.,Roads & Potholes,Low
1096,Garbage segregation not done by vehicle at Nipania Kindly look into this matter.,Sanitation,Medium
1097,Road cave in sinkhole formed at Bombay Hospital Road near main market This has been ignored for long.,Roads & Potholes,High
1098,High mast light tower tilting about to fall at Musakhedi,Street Lights,High
1099,Flickering street light disturbing residents at Bhawarkua This is causing great inconvenience.,Street Lights,Medium
1100,Multiple potholes on Bypass Road road causing vehicle damage Please resolve urgently.,Roads & Potholes,Medium
1101,Street light not working since 5 days at Airport Road,Street Lights,Medium
1102,Suggest additional water tap point near Airport Road park Residents are suffering.,Water Issues,Low
1103,Water pressure very low only trickle coming in Gandhi Nagar Please resolve urgently.,Water Issues,Medium
1104,Broken water main causing massive flooding near Sanyogitaganj This is causing great inconvenience.,Water Issues,High
1105,Traffic signal light not working properly at Khajrana,Roads & Potholes,Medium
1106,Road repairs done poorly broken again within 6 days This has been ignored for long.,Roads & Potholes,Medium
1107,Request new borewell installation in Marimata Chowk colony,Water Issues,Low
1108,Massive deep pothole causing accidents at Residency Area highway Residents are suffering.,Roads & Potholes,High
1109,Street light pole hit by vehicle sparking dangerously Pardesipura Please resolve urgently.,Street Lights,High
1110,Stray dogs menace near Rau garbage dump biting people,Sanitation,Medium
1111,Drainage water stagnating mosquito breeding at Regal Square Please take immediate action.,Sanitation,Medium
1112,Suggest awareness campaign for Scheme 140 cleanliness,Sanitation,Low
1113,Request traffic mirror at blind corner near Marimata Chowk Please resolve urgently.,Roads & Potholes,Low
1114,Garbage dump fire toxic smoke affecting Sanyogitaganj residents,Sanitation,High
1115,Dustbin overflowing garbage spilling on road at Bombay Hospital Road,Sanitation,Medium
1116,Street lights dim not bright enough at Marimata Chowk road,Street Lights,Medium
1117,CCTV cameras not working due to power issue at Nanda Nagar,Electricity,Medium
1118,Suggest water conservation awareness in Residency Area ward,Water Issues,Low
1119,Garbage vehicle not coming on schedule to Residency Area,Sanitation,Medium
1120,Drainage water stagnating mosquito breeding at Race Course Road Please take immediate action.,Sanitation,Medium
1121,Flickering street light disturbing residents at Palasia Residents are suffering.,Street Lights,Medium
1122,Garbage piling up for 14 days no collection Tilak Nagar Kindly look into this matter.,Sanitation,Medium
1123,Request new street light installation at Musakhedi lane,Electricity,Low
1124,Water tanker delayed by 10 hours daily at Gandhi Nagar This has been ignored for long.,Water Issues,Medium
1125,Request public toilet construction near Gandhi Nagar market Please resolve urgently.,Sanitation,Low
1126,Water supply available only 6 hours daily in Bengali Square This is causing great inconvenience.,Water Issues,Medium
1127,Suggest lights on AB Road walking track path Residents are suffering.,Street Lights,Low
1128,Drainage water stagnating mosquito breeding at Bengali Square This is causing great inconvenience.,Sanitation,Medium
1129,Road completely broken vehicles falling in crater at Chandan Nagar This has been ignored for long.,Roads & Potholes,High
1130,4 street lights broken on main road Residency Area Kindly look into this matter.,Street Lights,Medium
1131,Large pothole caused serious accident injury at Bhanwarkua,Roads & Potholes,High
1132,Request light timer adjustment for Race Course Road street lights Kindly look into this matter.,Street Lights,Low
1133,Deep trench dug left open no barrier at Nanda Nagar road Please take immediate action.,Roads & Potholes,High
1134,Suggest composting unit for Geeta Bhawan wet waste This is causing great inconvenience.,Sanitation,Low
1135,Drain blocked water stagnating mosquitoes breeding LIG Colony Please take immediate action.,Sanitation,Medium
1136,Garbage vehicle not coming on schedule to Scheme 140,Sanitation,Medium
1137,Water tanker not coming since 3 days Rajiv Gandhi Square residents suffering Please take immediate action.,Water Issues,High
1138,Street light not working since 5 days at Nehru Nagar road Residents are suffering.,Electricity,Medium
1139,Traffic signal light not working properly at Bijalpur This is causing great inconvenience.,Roads & Potholes,Medium
1140,Request light timer adjustment for Bengali Square street lights,Street Lights,Low
1141,Street light not working since 14 days at AB Road road Residents are suffering.,Electricity,Medium
1142,Leaking water tap wasting water on Khajrana main road This is causing great inconvenience.,Water Issues,Medium
1143,Suggest festive lighting plan for Nipania market area,Street Lights,Low
1144,Flickering street light disturbing residents at Scheme 54 Residents are suffering.,Street Lights,Medium
1145,Suggest water audit for AB Road ward reduce wastage,Water Issues,Low
1146,Suggest LED replacement for old lights at Sukhliya,Electricity,Low
1147,Multiple potholes on LIG Colony road causing vehicle damage This has been ignored for long.,Roads & Potholes,Medium
1148,Electricity bill very high despite less usage in Geeta Bhawan,Electricity,Medium
1149,Electric meter running fast overcharging Sapna Sangeeta Road residents Residents are suffering.,Electricity,Medium
1150,Street light not working since 5 days at Rajendra Nagar This has been ignored for long.,Street Lights,Medium
1151,Road surface worn out needs resurfacing at Kanadiya Road,Roads & Potholes,Medium
1152,Suggest parking area demarcation at Tilak Nagar market,Roads & Potholes,Low
1153,Street lights dim not bright enough at Geeta Bhawan road Kindly look into this matter.,Street Lights,Medium
1154,Open defecation near Palasia school health emergency Residents are suffering.,Sanitation,High
1155,Dirty black water coming from taps in Khajrana since 1 days,Water Issues,High
1156,Broken light pole fallen on road blocking traffic at Airport Road This has been ignored for long.,Street Lights,High
1157,Road marking lines faded invisible at Bombay Hospital Road junction Kindly look into this matter.,Roads & Potholes,Medium
1158,Suggest road divider plantation beautification at Marimata Chowk,Roads & Potholes,Low
1159,Water meter not working billing issue at Bhawarkua colony,Water Issues,Medium
1160,Request rainwater harvesting system for Dewas Naka colony Residents are suffering.,Water Issues,Low
1161,Power cut during peak hours daily problem at Airport Road Please take immediate action.,Electricity,Medium
1162,Stray dogs menace near Bhanwarkua garbage dump biting people,Sanitation,Medium
